firstname,f_his,f_whi,f_bla,f_asi,f_ai,f_oth
DON,5.46E-05,0.000500746,0.000428625,0.000557096,0.000677507,0.000242072
DONA,5.46E-06,7.39E-05,1.79E-05,2.40E-05,0,0.000484144
DONAL,0,1.78E-05,0,0,0,0
DONALD,0.000475013,0.005227276,0.003500438,0.000521155,0.004516712,0.002420721
DONATO,2.73E-05,1.28E-05,0,4.19E-05,0,0
DONG,0,2.28E-06,0,0.001096222,0,0
DONITA,0,2.37E-05,7.14E-05,0,0,0
DONN,1.64E-05,4.20E-05,0,1.20E-05,0,0.000242072
DONNA,0.000551452,0.003889218,0.002089547,0.000503184,0.00203252,0.003146938
DONNELL,0,1.05E-05,0.000223242,0,0,0
DONNIE,1.09E-05,9.26E-05,0.00028575,3.00E-05,0.000451671,0
DONNY,0,1.87E-05,3.57E-05,4.19E-05,0,0
DONOVAN,2.18E-05,4.88E-05,0.000187523,1.80E-05,0,0
DORA,0.001021004,6.84E-05,0.000267891,0.000107825,0.000225836,0
DORCAS,1.09E-05,1.09E-05,7.14E-05,2.40E-05,0,0
DOREEN,9.28E-05,0.000258126,0.00029468,7.79E-05,0.000451671,0.000484144
DORENE,2.73E-05,3.47E-05,2.68E-05,5.99E-06,0,0.000242072
DORI,5.46E-06,3.15E-05,8.93E-06,1.20E-05,0,0.000242072
DORIAN,3.28E-05,2.55E-05,0.000133945,0,0,0.000242072
DORINA,0,7.30E-06,0,0,0,0
DORINDA,5.46E-06,2.14E-05,2.68E-05,1.20E-05,0.000225836,0.000242072
DORIS,0.000458633,0.00046335,0.001598414,0.000269563,0.000677507,0.001210361
DORIT,0,8.21E-06,0,0,0,0
DORON,0,1.23E-05,0,0,0,0
DOROTA,5.46E-06,2.69E-05,0,1.20E-05,0,0
DOROTHEA,5.46E-06,4.42E-05,0.000160734,1.80E-05,0,0.000242072
DOROTHY,0.000240236,0.000972304,0.003027164,0.000257582,0.00203252,0.001452433
DOUG,2.18E-05,0.000191542,8.93E-06,7.79E-05,0,0
DOUGLAS,0.000365814,0.003753314,0.000919758,0.000515164,0.001580849,0.002904866
DOUGLASS,0,2.33E-05,8.93E-06,5.99E-06,0,0
DOV,0,1.09E-05,0,0,0,0
DOYLE,0,6.38E-05,3.57E-05,1.20E-05,0,0
DRAGAN,0,1.55E-05,0,5.99E-06,0,0
DRAKE,0,1.28E-05,8.93E-06,5.99E-06,0,0
DREW,4.37E-05,0.000194278,1.79E-05,0,0,0
DRU,0,1.41E-05,0,0,0,0
DUANE,3.82E-05,0.000484328,0.0005715,9.58E-05,0.000451671,0.000242072
DUC,5.46E-06,1.37E-06,0,0.000928494,0,0.000242072
DUDLEY,5.46E-06,2.19E-05,6.25E-05,1.20E-05,0,0
DUKE,1.09E-05,1.32E-05,0,8.99E-05,0,0.000242072
DULCE,0.000333055,5.02E-06,8.93E-06,3.59E-05,0,0
DUNCAN,5.46E-06,6.16E-05,8.04E-05,0,0,0
DUNG,5.46E-06,2.28E-06,0,0.001233998,0,0.000242072
DUONG,0,9.12E-07,0,0.00021565,0,0
DUSTIN,5.46E-05,0.00052218,2.68E-05,8.39E-05,0.001129178,0.000484144
DUSTY,5.46E-06,3.37E-05,0,5.99E-06,0,0
DUY,0,4.56E-07,0,0.000239611,0,0
DWAIN,0,1.87E-05,7.14E-05,0,0,0
DWAINE,5.46E-06,1.41E-05,3.57E-05,0,0,0
DWAYNE,2.18E-05,0.000166459,0.001009055,2.40E-05,0.000451671,0
DWIGHT,3.82E-05,0.000224834,0.000928688,0.000113815,0,0.000242072
DYAN,5.46E-06,1.60E-05,1.79E-05,5.99E-06,0,0
DYLAN,1.09E-05,8.67E-05,2.68E-05,4.19E-05,0,0
DZUNG,0,0,0,0.000149757,0,0
EARL,3.82E-05,0.000373507,0.001169789,0.000107825,0.000225836,0.000242072
EARLE,0,2.65E-05,3.57E-05,1.20E-05,0,0
EARLENE,0,1.60E-05,9.82E-05,5.99E-06,0,0
EARLINE,0,7.30E-06,0.000142875,5.99E-06,0,0
EARNEST,0,2.28E-05,0.000321469,1.20E-05,0,0.000242072
EARNESTINE,0,2.28E-06,0.000232172,0,0,0
EBONY,1.09E-05,1.37E-06,0.000455414,5.99E-06,0.000225836,0
ED,3.28E-05,5.15E-05,8.93E-06,7.19E-05,0.000225836,0.000242072
EDDIE,0.000475013,0.000158706,0.001526977,0.000509174,0.000225836,0.000484144
EDDY,0.000202017,2.23E-05,0.000125016,4.79E-05,0,0
EDEN,2.73E-05,1.64E-05,8.04E-05,8.39E-05,0.000225836,0.000484144
EDGAR,0.002325924,0.000150497,0.00029468,0.000335456,0.000903342,0.000484144
EDGARDO,0.000343975,5.93E-06,0,0.000287534,0,0
EDIE,5.46E-06,1.46E-05,0,0,0,0.000242072
EDILBERTO,8.19E-05,1.82E-06,0,0.000107825,0,0
EDISON,9.28E-05,8.67E-06,7.14E-05,4.19E-05,0.000225836,0
EDITH,0.000567831,0.000197927,0.000526852,0.000149757,0.000225836,0.000242072
EDMOND,3.28E-05,6.89E-05,0.000142875,0.000191689,0,0
EDMUND,0.000120118,0.0001733,0.000169664,0.000191689,0,0.000242072
EDMUNDO,0.000223857,4.56E-06,0,7.19E-05,0,0
EDNA,0.000300295,0.000128151,0.000517922,0.000371398,0.000451671,0.000484144
EDUARD,1.64E-05,2.92E-05,0,1.20E-05,0.000225836,0
EDUARDO,0.00392022,4.33E-05,2.68E-05,0.000563087,0,0.000242072
EDWARD,0.002287705,0.004114508,0.003089672,0.001779114,0.003387534,0.003146938
EDWIN,0.001588836,0.000454685,0.000616148,0.000706853,0.000225836,0.000726216
EDWINA,1.64E-05,2.37E-05,0.000205383,5.99E-05,0,0
EDYTA,0,8.67E-06,0,0,0,0
EFFIE,5.46E-06,1.46E-05,7.14E-05,3.00E-05,0,0
EFRAIN,0.001086523,5.47E-06,0,1.20E-05,0,0
EFREN,0.000611511,4.10E-06,0,0.000167728,0,0
EILEEN,0.000229316,0.000875165,0.000169664,0.000281543,0.000451671,0.000484144
EKATERINA,0,1.60E-05,0,0,0,0
ELAINA,5.46E-06,2.05E-05,1.79E-05,5.99E-06,0,0
ELAINE,0.000267536,0.000946309,0.000946547,0.000778737,0.000451671,0.000484144
ELANA,1.09E-05,2.46E-05,3.57E-05,5.99E-06,0,0
ELBA,0.000305755,3.19E-06,0,5.99E-06,0,0
ELBERT,1.64E-05,2.33E-05,0.000321469,4.19E-05,0,0
ELDA,0.000191097,7.30E-06,2.68E-05,0,0,0
ELDEN,0,1.19E-05,1.79E-05,1.20E-05,0,0
ELDON,0,5.24E-05,0,5.99E-06,0,0
ELEANOR,0.000136498,0.000266335,0.000464344,0.000263572,0,0.000484144
ELEANORE,1.64E-05,1.09E-05,0,1.20E-05,0,0.000242072
ELEAZAR,0.000251156,1.37E-06,8.93E-06,5.99E-06,0,0
ELEFTHERIOS,0,9.12E-06,0,0,0,0
ELENA,0.001053764,0.000211152,6.25E-05,0.000275553,0.000225836,0.000484144
ELENI,0,2.55E-05,2.68E-05,0,0,0
ELEONORA,1.64E-05,1.37E-05,0,5.99E-06,0,0
ELI,0.000120118,7.43E-05,0.000107156,2.40E-05,0,0
ELIA,0.000360354,1.00E-05,8.93E-06,0,0,0
ELIANA,9.28E-05,5.93E-06,8.93E-06,0,0,0
ELIAS,0.000818987,6.20E-05,0.000125016,5.99E-05,0.000225836,0
ELIDA,0.000267536,3.19E-06,0,0,0,0
ELIE,1.64E-05,1.96E-05,8.93E-06,5.99E-06,0,0
ELIJAH,1.64E-05,2.46E-05,0.000321469,2.40E-05,0,0.000242072
ELIN,0,8.21E-06,0,0,0,0
ELINOR,0,2.37E-05,1.79E-05,1.20E-05,0,0
ELIO,7.10E-05,8.67E-06,0,0,0,0
ELIOT,3.28E-05,1.73E-05,0,1.20E-05,0,0
ELISA,0.000562371,0.00012131,7.14E-05,0.000155747,0.000225836,0
ELISABETH,6.55E-05,0.000196559,8.93E-06,1.80E-05,0.000225836,0
ELISE,1.64E-05,0.000136816,9.82E-05,2.40E-05,0.000225836,0.000242072
ELISEO,0.000491392,9.12E-07,0,6.59E-05,0,0
ELISHA,3.28E-05,3.33E-05,7.14E-05,0,0,0
ELISSA,2.73E-05,5.93E-05,0,0,0.000225836,0
ELIZA,6.01E-05,2.60E-05,0.000142875,5.39E-05,0.000225836,0
ELIZABETH,0.004149536,0.005259656,0.001732359,0.001341824,0.002935863,0.003146938
ELKE,0,2.23E-05,0,0,0,0
ELLA,2.18E-05,7.30E-05,0.000544711,5.39E-05,0.000677507,0
ELLEN,0.000109198,0.001188473,0.000303609,0.000479223,0.000677507,0.000242072
ELLIE,2.73E-05,1.96E-05,8.93E-06,4.19E-05,0,0
ELLIOT,5.46E-05,7.43E-05,0.000107156,3.59E-05,0,0
ELLIOTT,1.09E-05,7.57E-05,0.000223242,4.19E-05,0.000225836,0
ELLIS,1.64E-05,4.01E-05,0.000250031,5.99E-06,0,0
ELLYN,0,2.10E-05,0,1.80E-05,0,0
ELMA,0.000114658,9.58E-06,7.14E-05,7.19E-05,0,0
ELMER,0.000365814,9.30E-05,0.000214313,0.000131786,0.000451671,0.000242072
ELOISA,0.000191097,5.47E-06,8.93E-06,4.19E-05,0,0
ELOISE,6.55E-05,2.51E-05,0.000142875,1.20E-05,0,0.000242072
ELOY,0.000404034,2.74E-06,8.93E-06,1.20E-05,0.000225836,0
ELPIDIO,9.28E-05,3.65E-06,0,5.99E-05,0,0
ELSA,0.000889966,4.38E-05,0.000107156,0.000113815,0.000225836,0
ELSIE,0.000131038,6.75E-05,0.00027682,8.99E-05,0.000451671,0.000242072
ELTON,0,2.51E-05,0.000169664,1.20E-05,0.000225836,0
ELVA,0.000518692,1.64E-05,8.93E-06,5.99E-06,0,0
ELVIA,0.00067157,4.56E-06,3.57E-05,5.99E-06,0,0
ELVIN,0.000136498,1.87E-05,9.82E-05,3.59E-05,0,0
ELVIRA,0.00065519,3.37E-05,8.04E-05,0.00020966,0,0.000242072
ELVIS,0.000202017,8.21E-06,0.000178594,4.79E-05,0,0.000242072
ELWIN,0,7.30E-06,0,0,0,0
ELWOOD,5.46E-06,2.65E-05,8.93E-05,0,0,0
ELYSE,1.09E-05,4.56E-05,1.79E-05,1.20E-05,0,0.000242072
ELYSSA,0,8.67E-06,0,0,0,0
ELZBIETA,1.09E-05,2.69E-05,8.93E-06,0,0,0
EMAD,5.46E-06,1.92E-05,8.93E-06,5.39E-05,0.000225836,0
EMANUEL,0.000131038,3.37E-05,0.000241102,1.80E-05,0,0
EMERSON,2.73E-05,1.60E-05,8.93E-06,5.39E-05,0.000451671,0
EMERY,1.09E-05,2.23E-05,4.46E-05,5.99E-06,0.000225836,0
EMIL,2.73E-05,7.80E-05,1.79E-05,2.40E-05,0.000225836,0
EMILE,2.73E-05,2.33E-05,0.000116086,0,0,0
EMILEE,0,1.46E-05,0,5.99E-06,0,0
EMILIA,0.000327595,2.69E-05,8.93E-06,4.79E-05,0,0
EMILIANO,0.000191097,2.74E-06,0,4.19E-05,0,0
EMILIE,5.46E-06,4.15E-05,8.93E-06,3.00E-05,0,0
EMILIO,0.000791688,1.87E-05,1.79E-05,3.59E-05,0,0.000242072
EMILY,0.000256616,0.001178896,0.000428625,0.000706853,0.000903342,0.001694505
EMMA,0.000709789,0.000132255,0.000669727,0.000197679,0.000903342,0
EMMANUEL,0.000398574,3.83E-05,0.000723305,0.000341446,0,0
EMMETT,5.46E-06,3.37E-05,0.000151805,5.99E-06,0.000225836,0
EMORY,5.46E-06,2.01E-05,4.46E-05,0,0,0
ENEDINA,0.000147418,0,0,0,0,0
ENID,3.28E-05,1.64E-05,6.25E-05,0,0,0
ENRICO,4.91E-05,1.87E-05,1.79E-05,4.19E-05,0,0
ENRIQUE,0.003210431,1.92E-05,0,0.000167728,0,0
ENRIQUETA,0.000147418,2.28E-06,0,1.80E-05,0,0
EPIFANIO,0.000152878,4.56E-07,0,2.40E-05,0,0
ERAN,0,9.12E-06,0,0,0,0
ERASMO,0.000202017,1.82E-06,0,0,0,0
ERIC,0.001758093,0.004425992,0.003607594,0.002270318,0.003161698,0.003873154
ERICA,0.000720709,0.000516252,0.001098352,0.000137777,0.000677507,0.000242072
ERICH,1.64E-05,8.62E-05,8.93E-06,5.99E-06,0,0
ERICK,0.000524152,9.03E-05,0.000116086,7.19E-05,0.000225836,0
ERICKA,0.000152878,3.24E-05,0.000312539,0,0,0
ERIK,0.000458633,0.000706426,0.000196453,0.000101835,0.000451671,0
ERIKA,0.000955485,0.000317869,0.000526852,7.19E-05,0.000225836,0.000968289
ERIN,0.000174717,0.001524584,0.000142875,8.99E-05,0.000903342,0.000726216
ERINN,0,1.55E-05,1.79E-05,5.99E-06,0,0
ERLINDA,7.10E-05,7.75E-06,0,0.000593038,0,0.000242072
ERMA,1.64E-05,2.33E-05,0.000223242,1.80E-05,0,0
ERNEST,0.000704329,0.000477031,0.001473398,0.000257582,0.000903342,0.000726216
ERNESTINA,0.000229316,2.28E-06,2.68E-05,5.99E-06,0,0
ERNESTINE,7.10E-05,2.28E-05,0.000410766,1.20E-05,0.000225836,0
ERNESTO,0.002435123,2.01E-05,4.46E-05,0.000473232,0,0
ERNIE,0.000174717,3.60E-05,3.57E-05,9.58E-05,0.000225836,0.000242072
ERNST,0,1.09E-05,0.000107156,0,0,0
ERROL,5.46E-06,1.82E-05,0.000410766,3.00E-05,0.000225836,0
ERVIN,3.82E-05,3.10E-05,0.000196453,0,0,0
ERWIN,0.000114658,3.97E-05,7.14E-05,0.000239611,0,0.000242072
ERYN,0,1.41E-05,8.93E-06,0,0,0
ESMERALDA,0.000606051,5.93E-06,1.79E-05,4.79E-05,0,0
ESPERANZA,0.000960945,7.75E-06,8.93E-06,8.99E-05,0,0
ESSIE,5.46E-06,2.28E-06,0.000241102,5.99E-06,0,0
ESTEBAN,0.000868127,6.38E-06,0,3.00E-05,0,0
ESTELA,0.000704329,7.75E-06,8.93E-06,5.39E-05,0,0.000242072
ESTELLA,0.000272996,1.23E-05,0.000107156,3.00E-05,0,0.000242072
ESTELLE,2.18E-05,3.19E-05,7.14E-05,0,0,0
ESTER,0.000109198,1.14E-05,4.46E-05,5.99E-05,0,0
ESTHER,0.001223021,0.000212065,0.000812602,0.000545116,0.001129178,0.000484144
ESTRELLA,9.28E-05,3.19E-06,0,0.000167728,0,0
ETHAN,2.18E-05,0.000110365,8.93E-06,5.39E-05,0,0.000242072
ETHEL,6.55E-05,7.71E-05,0.000714375,8.39E-05,0.000451671,0.000242072
ETTA,5.46E-06,1.32E-05,0.000116086,5.99E-06,0,0.000242072
EUGENE,0.000327595,0.000845066,0.001303734,0.000748785,0.000225836,0.000968289
EUGENIA,0.000229316,7.30E-05,0.000125016,5.99E-05,0,0
EUGENIO,0.000414954,8.21E-06,0,4.79E-05,0,0
EULA,0,1.05E-05,0.000205383,0,0,0
EULALIA,0.000125578,4.56E-06,0,5.99E-06,0,0
EUN,5.46E-06,1.37E-06,0,0.000772747,0,0.000242072
EUNICE,0.000136498,4.42E-05,0.000446484,0.000287534,0.000451671,0
EUSEBIO,0.000267536,1.82E-06,1.79E-05,2.40E-05,0,0
EVA,0.001021004,0.000276824,0.000419695,0.000317485,0.000451671,0.000484144
EVAN,6.01E-05,0.000281841,7.14E-05,7.79E-05,0,0.000242072
EVANGELINA,0.000453173,6.38E-06,0,1.80E-05,0,0
EVANGELINE,9.83E-05,2.65E-05,9.82E-05,0.000299514,0.000225836,0.000242072
EVANGELOS,0,1.23E-05,0,0,0,0
EVANS,5.46E-06,7.75E-06,0.000107156,0,0,0
EVE,3.28E-05,6.89E-05,8.93E-06,3.59E-05,0,0
EVELIA,0.000245696,4.56E-07,0,0,0,0
EVELINA,6.01E-05,9.58E-06,0,1.20E-05,0,0
EVELYN,0.001031924,0.0004182,0.001393031,0.000646951,0.000677507,0.001452433
EVERARDO,0.000305755,9.12E-07,0,0,0,0
EVERETT,1.09E-05,0.000117206,0.000258961,4.19E-05,0,0.000242072
EVETTE,3.28E-05,6.38E-06,0.000107156,0,0,0
EVONNE,0,1.78E-05,8.04E-05,5.99E-06,0,0
EWA,5.46E-06,4.47E-05,0,5.99E-06,0,0
EYAL,0,9.58E-06,0,0,0,0
EZEQUIEL,0.000376734,1.37E-06,0,0,0,0
EZRA,0,1.92E-05,8.04E-05,1.80E-05,0,0
FABIAN,0.000409494,1.19E-05,7.14E-05,2.40E-05,0,0
FABIO,9.83E-05,1.69E-05,8.93E-06,0,0,0
FABIOLA,0.000376734,6.38E-06,1.79E-05,0,0,0
FADI,0,1.82E-05,0,3.00E-05,0,0
FAE,0,6.84E-06,0,0,0,0
FAISAL,5.46E-06,9.58E-06,0,0.000143767,0.000225836,0
FAITH,3.82E-05,0.000154146,0.000205383,7.79E-05,0.000451671,0.000242072
FAN,0,9.12E-07,0,0.000311495,0,0
FANG,0,0,0,0.000335456,0,0
FANNIE,5.46E-06,6.84E-06,0.000357188,2.40E-05,0,0
FANNY,0.000158338,6.84E-06,0,0.000155747,0,0
FARAH,1.09E-05,1.50E-05,5.36E-05,9.58E-05,0,0
FARHAD,0,2.23E-05,0,8.99E-05,0,0
FARIBORZ,0,7.75E-06,0,0,0,0
FARID,5.46E-06,1.87E-05,8.93E-06,7.19E-05,0.000225836,0
FARIDA,5.46E-06,5.93E-06,8.93E-06,0.000101835,0.000225836,0
FARRAH,5.46E-06,1.41E-05,6.25E-05,3.59E-05,0,0
FATIMA,0.000163797,3.15E-05,8.93E-05,0.000179709,0.000451671,0.000242072
FAUSTINO,0.000300295,3.19E-06,8.93E-06,1.20E-05,0,0
FAUSTO,0.000283916,4.56E-06,0,0,0,0
FAWN,5.46E-06,1.37E-05,0,0,0,0
FAY,0,5.38E-05,9.82E-05,9.58E-05,0,0.000242072
FAYE,1.64E-05,0.000122222,0.000312539,0.000131786,0.000225836,0
FE,7.10E-05,3.19E-06,0,0.00021565,0,0
FEDERICO,0.00063881,1.09E-05,8.93E-06,7.79E-05,0,0.000242072
FEI,0,4.56E-07,0,0.000269563,0,0
FELECIA,5.46E-06,6.84E-06,0.00027682,0,0,0
FELICE,1.09E-05,2.33E-05,4.46E-05,0,0,0
FELICIA,0.000185637,0.000114469,0.001330523,6.59E-05,0.000451671,0.000242072
FELICIANO,0.000163797,4.56E-06,0,4.79E-05,0,0
FELICITAS,0.000152878,2.28E-06,8.93E-06,4.79E-05,0,0
FELIPE,0.002042009,6.84E-06,2.68E-05,0.000113815,0.000451671,0
FELIX,0.001539696,6.34E-05,0.000312539,0.000275553,0.000451671,0
FEN,0,0,0,0.000107825,0,0
FENG,1.09E-05,4.56E-07,0,0.000784727,0,0
FERDINAND,9.83E-05,1.78E-05,3.57E-05,0.000239611,0,0
FERMIN,0.000322135,1.37E-06,0,3.00E-05,0,0
FERN,0,2.96E-05,4.46E-05,5.99E-06,0.000225836,0
FERNANDA,6.55E-05,1.50E-05,1.79E-05,0,0,0
FERNANDO,0.004220515,6.66E-05,5.36E-05,0.000341446,0.000225836,0
FIDEL,0.000873587,3.65E-06,1.79E-05,3.59E-05,0.000225836,0
FIDENCIO,0.000147418,9.12E-07,0,5.99E-06,0,0
FILIBERTO,0.000262076,1.82E-06,0,0,0,0
FILOMENA,5.46E-05,1.50E-05,0,7.79E-05,0,0
FIONA,5.46E-06,4.24E-05,2.68E-05,5.99E-05,0,0
FLAVIA,6.01E-05,8.21E-06,1.79E-05,1.20E-05,0,0
FLAVIO,0.000240236,3.19E-06,0,0,0,0
FLETCHER,0,1.09E-05,5.36E-05,0,0,0
FLOR,0.000398574,5.02E-06,0,2.40E-05,0,0
FLORA,0.000240236,3.88E-05,0.000178594,0.000191689,0,0
FLORENCE,5.46E-05,0.0001733,0.000625078,0.000257582,0.000451671,0
FLORENCIO,0.000207477,2.28E-06,0,5.99E-05,0,0
FLORENTINO,0.000272996,1.37E-06,0,5.39E-05,0,0
FLORIAN,1.09E-05,1.73E-05,0,5.99E-06,0,0
FLORIN,5.46E-06,1.37E-05,0,0,0,0
FLOYD,2.73E-05,0.000189262,0.00058043,7.79E-05,0.000225836,0.000484144
FONDA,0,1.41E-05,3.57E-05,0,0,0
FORD,0,7.30E-06,0,0,0,0
FOREST,0,2.42E-05,2.68E-05,1.20E-05,0,0
FORREST,5.46E-06,0.000111277,7.14E-05,1.80E-05,0,0
FRAN,0,3.97E-05,8.93E-06,5.99E-06,0,0.000242072
FRANCES,0.000769848,0.000774377,0.001035844,0.000359417,0.001129178,0.001452433
FRANCESCA,3.28E-05,5.97E-05,3.57E-05,5.99E-06,0,0
FRANCESCO,1.64E-05,5.38E-05,0,0,0,0
FRANCINE,6.55E-05,0.000160987,0.000321469,3.00E-05,0.000225836,0.000484144
FRANCIS,0.000262076,0.000850994,0.00058043,0.000784727,0.000451671,0.000484144
FRANCISCA,0.000895426,6.84E-06,7.14E-05,6.59E-05,0,0
FRANCISCO,0.009041621,7.43E-05,2.68E-05,0.000371398,0,0
FRANCO,8.74E-05,3.06E-05,2.68E-05,1.80E-05,0,0
FRANCOIS,5.46E-06,2.19E-05,8.04E-05,1.80E-05,0,0
FRANK,0.002527941,0.002618655,0.0017145,0.001132164,0.004290876,0.001452433
FRANKIE,0.000103738,5.52E-05,0.000250031,5.99E-05,0.000225836,0
FRANKLIN,0.000354895,0.000246725,0.000589359,0.000287534,0.000225836,0.000484144
FRANKLYN,3.28E-05,1.09E-05,3.57E-05,5.99E-06,0,0
FRANZ,2.73E-05,1.41E-05,0,1.20E-05,0,0
FRED,0.000376734,0.00071053,0.000750094,0.000323475,0.000677507,0.001210361
FREDA,1.09E-05,3.79E-05,0.000133945,1.20E-05,0,0
FREDDIE,0.000147418,4.33E-05,0.000696516,7.19E-05,0,0.000484144
FREDDY,0.000420414,1.50E-05,7.14E-05,3.00E-05,0,0
FREDERIC,2.73E-05,8.39E-05,5.36E-05,3.59E-05,0,0
FREDERICK,0.000120118,0.000978233,0.00142875,0.000383378,0.000451671,0.000968289
FREDRIC,0,4.65E-05,1.79E-05,0,0,0
FREDRICK,1.64E-05,0.00010626,0.000357188,1.20E-05,0.000677507,0
FREDY,0.000272996,2.28E-06,0,2.40E-05,0,0
FRIEDA,5.46E-06,1.82E-05,2.68E-05,3.00E-05,0,0
FRIEDRICH,0,8.21E-06,0,0,0,0
FRITZ,5.46E-06,1.78E-05,8.04E-05,1.20E-05,0,0
FU,5.46E-06,0,0,0.000191689,0,0
GABINO,0.000196557,4.56E-07,0,0,0,0
GABRIEL,0.002828237,0.000220273,0.000205383,0.000143767,0,0.000726216
GABRIELA,0.001004625,4.88E-05,8.93E-06,0,0.000225836,0.000242072
GABRIELE,1.64E-05,2.83E-05,0,0,0,0
GABRIELLA,4.91E-05,2.78E-05,0,0,0,0.000242072
GABRIELLE,2.73E-05,8.16E-05,9.82E-05,5.99E-06,0.000225836,0.000484144
GAETANO,0,2.83E-05,0,5.99E-06,0,0
GAIL,8.19E-05,0.001116873,0.000973336,0.000257582,0,0.000968289
GALE,2.18E-05,0.000132711,0.000187523,4.79E-05,0.000225836,0
GALEN,1.09E-05,6.20E-05,1.79E-05,3.00E-05,0,0
GALINA,0,5.88E-05,0,1.20E-05,0,0
GANESH,5.46E-06,5.93E-06,0,0.000305504,0,0
GANG,0,4.56E-07,0,0.000449271,0,0
GAREN,0,8.21E-06,0,0,0,0
GARETH,5.46E-06,1.96E-05,8.93E-06,1.80E-05,0,0.000242072
GARLAND,5.46E-06,3.69E-05,0.000133945,0,0,0
GARNET,5.46E-06,1.28E-05,5.36E-05,0,0,0
GARRET,0,2.92E-05,8.93E-06,4.19E-05,0,0
GARRETT,3.28E-05,0.000200663,9.82E-05,0.000107825,0.000225836,0
GARRICK,0,1.41E-05,2.68E-05,2.40E-05,0.000225836,0
GARRISON,0,9.12E-06,0,0,0,0
GARRY,2.18E-05,0.000179229,0.000151805,6.59E-05,0,0
GARTH,0,6.29E-05,9.82E-05,1.20E-05,0,0.000242072
GARY,0.000529612,0.005282002,0.001821656,0.001383756,0.002484192,0.003873154
GASPAR,0.000131038,2.28E-06,0,1.20E-05,0,0
GAURAV,0,4.10E-06,0,0.000233621,0.000225836,0
GAUTAM,1.09E-05,2.74E-06,0,0.000173718,0.000225836,0
GAVIN,2.18E-05,8.44E-05,3.57E-05,5.99E-05,0.000225836,0
GAY,0,7.16E-05,3.57E-05,2.40E-05,0,0.000242072
GAYE,1.09E-05,3.19E-05,1.79E-05,0,0,0
GAYLA,1.09E-05,5.06E-05,3.57E-05,0,0.000225836,0
GAYLE,5.46E-05,0.000395854,0.000214313,7.19E-05,0,0.000484144
GAYLEN,0,9.58E-06,0,0,0,0
GAYLENE,0,1.87E-05,0,0,0,0
GAYLORD,0,1.69E-05,8.93E-06,0,0,0.000242072
GE,0,0,0,0.000113815,0,0
GEETA,0,8.67E-06,8.93E-06,0.000263572,0,0.000242072
GEETHA,0,2.74E-06,8.93E-06,0.000179709,0,0
GEMMA,2.73E-05,1.41E-05,8.93E-06,0.000119806,0,0
GENA,2.18E-05,5.24E-05,4.46E-05,1.80E-05,0,0
GENARO,0.000425873,1.37E-06,0,3.00E-05,0,0
GENE,6.01E-05,0.000355721,0.000339328,0.00021565,0.000225836,0.000484144
GENEVA,2.18E-05,4.29E-05,0.000339328,1.20E-05,0.000225836,0.000242072
GENEVIEVE,0.000136498,0.000112189,9.82E-05,9.58E-05,0.000677507,0
GENNADY,0,1.41E-05,0,0,0,0
GENNARO,5.46E-06,1.96E-05,0,0,0,0
GENOVEVA,0.000202017,3.65E-06,0,3.59E-05,0,0
GEOFF,5.46E-06,4.01E-05,0,5.99E-06,0,0
GEOFFREY,5.46E-05,0.00046563,8.04E-05,0.000149757,0,0.000242072
GEORG,0,8.67E-06,0,0,0,0
GEORGE,0.002380523,0.003672136,0.004045149,0.001713221,0.004065041,0.003873154
GEORGENE,5.46E-06,1.60E-05,8.93E-06,0,0,0
GEORGETTE,1.09E-05,3.56E-05,0.000116086,1.20E-05,0,0
GEORGI,0,8.21E-06,0,0,0,0
GEORGIA,9.83E-05,0.000221642,0.000464344,3.00E-05,0.000451671,0
GEORGIANA,1.09E-05,1.64E-05,1.79E-05,5.99E-06,0,0
GEORGIANNA,1.09E-05,1.50E-05,0,0,0.000225836,0.000242072
GEORGINA,0.000404034,3.97E-05,0.000107156,2.40E-05,0.000225836,0
GERALD,0.000294835,0.001844277,0.00141982,0.000365407,0.001580849,0.001452433
GERALDINE,0.000300295,0.0003466,0.001116211,0.000185699,0.000225836,0.000242072
GERALYN,5.46E-06,3.51E-05,8.93E-06,0,0,0.000726216
GERARD,0.000109198,0.000354809,0.00028575,0.000113815,0,0.000726216
GERARDO,0.002839156,2.33E-05,0,0.000191689,0,0
GERD,0,8.67E-06,0,0,0,0
GERHARD,5.46E-06,3.24E-05,0,0,0,0
GERI,5.46E-06,6.07E-05,2.68E-05,0,0,0
GERMAINE,2.18E-05,1.78E-05,7.14E-05,5.99E-06,0,0
GERMAN,0.000687949,1.09E-05,8.93E-06,1.80E-05,0,0
GERONIMO,0.000185637,1.37E-06,0,4.19E-05,0.000225836,0
GERRI,5.46E-06,2.87E-05,1.79E-05,0,0,0
GERRIE,0,6.84E-06,0,0,0,0
GERRY,4.91E-05,7.48E-05,8.93E-05,4.79E-05,0,0
GERTRUDE,2.18E-05,5.56E-05,0.000339328,1.80E-05,0,0.000242072
GHASSAN,0,1.96E-05,0,3.00E-05,0,0
GHEORGHE,0,1.64E-05,0,0,0,0
GIA,1.09E-05,1.37E-05,4.46E-05,3.59E-05,0,0
GIANCARLO,3.82E-05,1.09E-05,0,0,0,0
GIANG,0,0,0,0.000245602,0,0
GIAO,0,0,0,0.000101835,0,0
